#"name1","name2","distance","forced_redirection"
"El_Geneina","Adre",27,0
"El_Geneina","Ade",105,0
"El_Geneina","Tine",180,0
"Adre","Ouaddai",148,0
"Ade","Sila",72,0
"Tine","Wadi_Fira",62,0
