#"name1","name2","distance","forced_redirection"
"El_Geneina","Adre",32,0
"Foro_Baranga","Ade",116,0
"Kulbus","Tine",98,0
"Adre","Ouaddai",178,0
"Ade","Sila",86,0
"Tine","Wadi_Fira",74,0
