#"name","region","country","lat","lon","location_type","conflict_date","population"
"El_Geneina","West_Darfur","Sudan",13.44200,22.44600,"conflict_zone",0,253000
"Adre","Ouaddai","Chad",13.46646,22.19772,"marker",,0
"Farchana","Ouaddai","Chad",13.57899,21.81935,"camp",,36900
