Day,Date,Ouaddai sim,Ouaddai data,Ouaddai error,Sila sim,Sila data,Sila error,Wadi_Fira sim,Wadi_Fira data,Wadi_Fira error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2023-04-16,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0
1,2023-04-17,2028,1755,0.1556,238,598,0.602,166,82,1.0244,0.2944558521560575,2435,2435,2435,2432,0
2,2023-04-18,4036,3510,0.1499,491,1196,0.5895,341,165,1.0667,0.2888523917060152,4871,4871,4871,4868,0
3,2023-04-19,6012,5265,0.1419,756,1795,0.5788,533,248,1.1492,0.2833880678708265,7308,7308,7308,7301,0
4,2023-04-20,8002,7020,0.1399,1017,2393,0.575,725,331,1.1903,0.2824302134646962,9744,9744,9744,9744,0
5,2023-04-21,9982,8775,0.1375,1284,2992,0.5709,909,413,1.201,0.28004926108374384,12180,12180,12180,12175,0
6,2023-04-22,11982,10530,0.1379,1543,3590,0.5702,1089,496,1.1956,0.2799671592775041,14616,14616,14616,14614,0
7,2023-04-23,13961,12285,0.1364,1798,4189,0.5708,1289,579,1.2263,0.2801266639301003,17053,17053,17053,17048,0
8,2023-04-24,15978,14040,0.138,2050,4787,0.5718,1459,662,1.2039,0.2807737698188722,19489,19489,19489,19487,0
9,2023-04-25,17966,15795,0.1374,2328,5386,0.5678,1627,745,1.1839,0.2787102070601113,21926,21926,21926,21921,0
10,2023-04-26,19914,17551,0.1346,2610,5984,0.5638,1837,827,1.2213,0.27694770544290287,24362,24362,24362,24361,0
11,2023-04-27,21908,19306,0.1348,2866,6583,0.5646,2023,910,1.2231,0.2773237807380872,26799,26799,26799,26797,0
12,2023-04-28,23914,21061,0.1355,3110,7181,0.5669,2208,993,1.2236,0.2783991790661878,29235,29235,29235,29232,0
13,2023-04-29,25879,22816,0.1342,3394,7780,0.5638,2396,1076,1.2268,0.27686915887850466,31672,31672,31672,31669,0
14,2023-04-30,27890,24571,0.1351,3632,8378,0.5665,2583,1158,1.2306,0.2782420031078664,34107,34107,34107,34105,0
15,2023-05-01,29902,26326,0.1358,3864,8977,0.5696,2776,1241,1.2369,0.2797723292469352,36544,36544,36544,36542,0
16,2023-05-02,31871,28081,0.135,4154,9575,0.5662,2954,1324,1.2311,0.2781169830682401,38980,38980,38980,38979,0
