Seed,Date,Ouaddai_observed,Ouaddai_simulated,Ouaddai_difference,Ouaddai_percentage_error,Sila_observed,Sila_simulated,Sila_difference,Sila_percentage_error,Wadi_Fira_observed,Wadi_Fira_simulated,Wadi_Fira_difference,Wadi_Fira_percentage_error,MAE,RMSE,MAPE_percent,WAPE_percent
1011,2023-07-03,138653.0,156783.0,18130.0,13.075807952226059,47280.0,21114.0,-26166.0,55.34263959390863,6540.0,14574.0,8034.0,122.8440366972477,17443.333333333332,18955.224539248626,63.754161414460796,27.188228998353015
1012,2023-07-03,138653.0,156889.0,18236.0,13.152257794638414,47280.0,20995.0,-26285.0,55.594331641285955,6540.0,14585.0,8045.0,123.01223241590213,17522.0,19045.34016498524,63.91960728394217,27.310843598842432
1013,2023-07-03,138653.0,156795.0,18142.0,13.084462651367081,47280.0,21070.0,-26210.0,55.435702199661584,6540.0,14607.0,8067.0,123.34862385321101,17473.0,18983.964750985677,63.95626290141322,27.2344692502325
1014,2023-07-03,138653.0,157091.0,18438.0,13.297945230178938,47280.0,20748.0,-26532.0,56.11675126903554,6540.0,14631.0,8091.0,123.71559633027522,17687.0,19229.93455527085,64.37676427649657,27.568022527835073
1015,2023-07-03,138653.0,156962.0,18309.0,13.204907214412959,47280.0,20892.0,-26388.0,55.81218274111676,6540.0,14616.0,8076.0,123.4862385321101,17591.0,19120.38877742814,64.1677761625466,27.41839115096663
1016,2023-07-03,138653.0,156991.0,18338.0,13.225822737337092,47280.0,20858.0,-26422.0,55.884094754653134,6540.0,14621.0,8081.0,123.56269113149847,17613.666666666668,19145.990781362034,64.22420287449623,27.453720781616127
1017,2023-07-03,138653.0,157124.0,18471.0,13.321745652816745,47280.0,20769.0,-26511.0,56.07233502538072,6540.0,14578.0,8038.0,122.90519877675841,17673.333333333332,19223.426732331915,64.09975981831863,27.546720838766998
1018,2023-07-03,138653.0,156990.0,18337.0,13.225101512408674,47280.0,20730.0,-26550.0,56.15482233502538,6540.0,14748.0,8208.0,125.5045871559633,17698.333333333332,19222.550411777655,64.96150366779912,27.58568734315982
1019,2023-07-03,138653.0,157110.0,18457.0,13.311648503818885,47280.0,20849.0,-26431.0,55.903130287648054,6540.0,14512.0,7972.0,121.89602446483181,17620.0,19172.996583737244,63.703601085432915,27.463592296062306
1020,2023-07-03,138653.0,156854.0,18201.0,13.127014922143768,47280.0,20846.0,-26434.0,55.90947546531303,6540.0,14771.0,8231.0,125.85626911314985,17622.0,19129.22822977097,64.96425316686889,27.46670961641373
1021,2023-07-03,138653.0,157152.0,18499.0,13.34193995081246,47280.0,20918.0,-26362.0,55.75719120135364,6540.0,14402.0,7862.0,120.21406727828744,17574.333333333332,19139.654202727907,63.104399476817854,27.392413481371413
1022,2023-07-03,138653.0,156869.0,18216.0,13.137833296070045,47280.0,20926.0,-26354.0,55.74027072758037,6540.0,14675.0,8135.0,124.38837920489296,17568.333333333332,19083.450046222424,64.42216107618113,27.38306152031714
1023,2023-07-03,138653.0,156935.0,18282.0,13.185434141345661,47280.0,20978.0,-26302.0,55.63028764805414,6540.0,14556.0,8016.0,122.56880733944955,17533.333333333332,19063.778778965447,63.794843042949786,27.328508414167178
1024,2023-07-03,138653.0,157021.0,18368.0,13.247459485189648,47280.0,20956.0,-26324.0,55.67681895093063,6540.0,14494.0,7954.0,121.62079510703363,17548.666666666668,19092.778006356224,63.515024514384635,27.352407870194778
1025,2023-07-03,138653.0,156529.0,17876.0,12.892616820407781,47280.0,21250.0,-26030.0,55.05499153976311,6540.0,14688.0,8148.0,124.58715596330275,17351.333333333332,18828.189681078387,64.17825477449121,27.044832262187423
