MAE,RMSE,MAPE_percent,WAPE_percent,Ouaddai_observed,Ouaddai_simulated,Ouaddai_difference,Sila_observed,Sila_simulated,Sila_difference,Wadi_Fira_observed,Wadi_Fira_simulated,Wadi_Fira_difference,Scenario,Sensitivity_type,Target,Percentage_change,Seed,Date
19451.666666666668,21771.710061453603,57.08435429879452,30.31853818457654,138653.0,161754.0,23101.0,47280.0,18100.0,-29180.0,6540.0,12614.0,6074.0,el_geneina_plus20,population,El_Geneina,20.0,1005,2023-07-03
19512.666666666668,21814.60292250736,57.733045508165446,30.413616455295028,138653.0,161732.0,23079.0,47280.0,18011.0,-29269.0,6540.0,12730.0,6190.0,el_geneina_plus20,population,El_Geneina,20.0,1006,2023-07-03
19516.666666666668,21888.58725454889,56.45708473236203,30.41985109599788,138653.0,162001.0,23348.0,47280.0,18004.0,-29276.0,6540.0,12466.0,5926.0,el_geneina_plus20,population,El_Geneina,20.0,1007,2023-07-03
19656.666666666668,22010.51819774658,57.5108212046549,30.63806352059769,138653.0,162034.0,23381.0,47280.0,17793.0,-29487.0,6540.0,12642.0,6102.0,el_geneina_plus20,population,El_Geneina,20.0,1008,2023-07-03
19650.666666666668,22014.67932993801,57.2939504026964,30.628711559543415,138653.0,162067.0,23414.0,47280.0,17801.0,-29479.0,6540.0,12599.0,6059.0,el_geneina_plus20,population,El_Geneina,20.0,1009,2023-07-03
19477.666666666668,21850.68823477497,56.23642620962842,30.359063349145078,138653.0,161977.0,23324.0,47280.0,18063.0,-29217.0,6540.0,12432.0,5892.0,el_geneina_plus20,population,El_Geneina,20.0,1010,2023-07-03
20296.333333333332,22222.252668590256,69.92261369120249,31.635086479662082,138653.0,160625.0,21972.0,47280.0,16834.0,-30446.0,6540.0,15011.0,8471.0,foro_baranga_minus20,population,Foro_Baranga,-20.0,1001,2023-07-03
20035.333333333332,21949.254550743477,68.71694006014452,31.228276173801,138653.0,160406.0,21753.0,47280.0,17226.0,-30054.0,6540.0,14839.0,8299.0,foro_baranga_minus20,population,Foro_Baranga,-20.0,1002,2023-07-03
20185.0,22102.896348668877,69.47819773951282,31.461555646766037,138653.0,160517.0,21864.0,47280.0,17001.0,-30279.0,6540.0,14952.0,8412.0,foro_baranga_minus20,population,Foro_Baranga,-20.0,1003,2023-07-03
20190.666666666668,22125.76351978239,69.10280808332313,31.470388054428412,138653.0,160604.0,21951.0,47280.0,16992.0,-30288.0,6540.0,14873.0,8333.0,foro_baranga_minus20,population,Foro_Baranga,-20.0,1004,2023-07-03
20027.0,21914.708827634466,69.30316021958537,31.215287339003396,138653.0,160269.0,21616.0,47280.0,17237.0,-30043.0,6540.0,14962.0,8422.0,foro_baranga_minus20,population,Foro_Baranga,-20.0,1005,2023-07-03
20117.333333333332,21987.37874326997,70.24598470894455,31.356086308209463,138653.0,160239.0,21586.0,47280.0,17104.0,-30176.0,6540.0,15130.0,8590.0,foro_baranga_minus20,population,Foro_Baranga,-20.0,1006,2023-07-03
20214.666666666668,22139.862194693083,69.4714726655259,31.507795898645526,138653.0,160572.0,21919.0,47280.0,16957.0,-30323.0,6540.0,14942.0,8402.0,foro_baranga_minus20,population,Foro_Baranga,-20.0,1007,2023-07-03
20246.0,22166.80077653667,69.7591939777958,31.55663391748453,138653.0,160568.0,21915.0,47280.0,16909.0,-30371.0,6540.0,14992.0,8452.0,foro_baranga_minus20,population,Foro_Baranga,-20.0,1008,2023-07-03
20277.333333333332,22205.710301631876,69.76038582273031,31.605471936323536,138653.0,160623.0,21970.0,47280.0,16861.0,-30419.0,6540.0,14983.0,8443.0,foro_baranga_minus20,population,Foro_Baranga,-20.0,1009,2023-07-03
20005.0,21936.83335549292,68.12005757008103,31.180996815137707,138653.0,160475.0,21822.0,47280.0,17272.0,-30008.0,6540.0,14725.0,8185.0,foro_baranga_minus20,population,Foro_Baranga,-20.0,1010,2023-07-03
