Scenario,Date,Sensitivity_type,Target,Percentage_change,Province,UNHCR_observed,FLEE_mean,FLEE_SD,Bias,Absolute_error_percent
routes_minus20,2023-07-03,routes,all_routes,-20.0,Wadi_Fira,6540.0,14618.8,104.05425935005684,8078.799999999999,123.52905198776757
routes_minus20,2023-09-06,routes,all_routes,-20.0,Ouaddai,319545.0,336329.2,189.05484213141258,16784.20000000001,5.2525309424337765
routes_minus20,2023-09-06,routes,all_routes,-20.0,Sila,63808.0,44630.0,173.0972751566779,-19178.0,30.055792377131397
routes_minus20,2023-09-06,routes,all_routes,-20.0,Wadi_Fira,28983.0,31376.3,91.76304024799721,2393.2999999999993,8.25759928233792
routes_plus20,2023-07-03,routes,all_routes,20.0,Ouaddai,138653.0,157045.8,163.96463033227624,18392.79999999999,13.265345863414415
routes_plus20,2023-07-03,routes,all_routes,20.0,Sila,47280.0,20805.9,180.6115844691155,-26474.1,55.994289340101524
routes_plus20,2023-07-03,routes,all_routes,20.0,Wadi_Fira,6540.0,14618.6,104.08778346504775,8078.6,123.52599388379207
routes_plus20,2023-09-06,routes,all_routes,20.0,Ouaddai,319545.0,336326.9,189.77849661586473,16781.900000000023,5.251811169005938
routes_plus20,2023-09-06,routes,all_routes,20.0,Sila,63808.0,44629.6,173.27127094049183,-19178.4,30.05641925777332
routes_plus20,2023-09-06,routes,all_routes,20.0,Wadi_Fira,28983.0,31376.5,91.74754008207039,2393.5,8.258289342028085
