Day,Date,Ouaddai sim,Ouaddai data,Ouaddai error,Sila sim,Sila data,Sila error,Wadi_Fira sim,Wadi_Fira data,Wadi_Fira error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2023-04-15,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0
1,2023-04-16,2003,1755,0.1413,247,598,0.587,182,82,1.2195,0.2870636550308008,2435,2435,2435,2432,0
2,2023-04-17,3958,3510,0.1276,532,1196,0.5552,379,165,1.297,0.272223362759187,4871,4871,4871,4869,0
3,2023-04-18,5945,5265,0.1292,786,1795,0.5621,577,248,1.3266,0.276135741652983,7308,7308,7308,7308,0
4,2023-04-19,7919,7020,0.1281,1029,2393,0.57,788,331,1.3807,0.2791461412151067,9744,9744,9744,9736,0
5,2023-04-20,9923,8775,0.1308,1304,2992,0.5642,950,413,1.3002,0.2769293924466338,12180,12180,12180,12177,0
6,2023-04-21,11897,10530,0.1298,1545,3590,0.5696,1172,496,1.3629,0.2796934865900383,14616,14616,14616,14614,0
7,2023-04-22,13865,12285,0.1286,1818,4189,0.566,1369,579,1.3644,0.278015598428429,17053,17053,17053,17052,0
8,2023-04-23,15840,14040,0.1282,2085,4787,0.5644,1562,662,1.3595,0.277182000102622,19489,19489,19489,19487,0
9,2023-04-24,17867,15795,0.1312,2326,5386,0.5681,1732,745,1.3248,0.2790750706923287,21926,21926,21926,21925,0
10,2023-04-25,19820,17551,0.1293,2610,5984,0.5638,1931,827,1.3349,0.2769477054429028,24362,24362,24362,24361,0
11,2023-04-26,21793,19306,0.1288,2882,6583,0.5622,2124,910,1.3341,0.2762043359826859,26799,26799,26799,26799,0
12,2023-04-27,23772,21061,0.1287,3157,7181,0.5604,2302,993,1.3182,0.275149649392851,29235,29235,29235,29231,0
13,2023-04-28,25756,22816,0.1289,3433,7780,0.5587,2483,1076,1.3076,0.2745011366506694,31672,31672,31672,31672,0
14,2023-04-29,27712,24571,0.1278,3712,8378,0.5569,2682,1158,1.3161,0.273580203477292,34107,34107,34107,34106,0
15,2023-04-30,29671,26326,0.1271,4003,8977,0.5541,2869,1241,1.3118,0.2721924255691769,36544,36544,36544,36543,0
16,2023-05-01,31708,28081,0.1292,4239,9575,0.5573,3031,1324,1.2893,0.2737301180092355,38980,38980,38980,38978,0
17,2023-05-02,33698,29836,0.1294,4494,10174,0.5583,3220,1407,1.2886,0.2741627833981215,41417,41417,41417,41412,0
18,2023-05-03,35721,31591,0.1307,4728,10772,0.5611,3403,1490,1.2839,0.2756253848083369,43853,43853,43853,43852,0
19,2023-05-04,37690,33346,0.1303,5017,11371,0.5588,3580,1572,1.2774,0.2744928600747477,46289,46289,46289,46287,0
20,2023-05-05,39679,35102,0.1304,5282,11969,0.5587,3761,1655,1.2725,0.2743914953002503,48726,48726,48726,48722,0
