Day,Date,Ouaddai sim,Ouaddai data,Ouaddai error,Sila sim,Sila data,Sila error,Wadi_Fira sim,Wadi_Fira data,Wadi_Fira error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2023-04-16,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0
1,2023-04-17,1974,1755,0.1248,270,598,0.5485,189,82,1.3049,0.26858316221765915,2435,2435,2435,2433,0
2,2023-04-18,3995,3510,0.1382,507,1196,0.5761,367,165,1.2242,0.28248819544241427,4871,4871,4871,4869,0
3,2023-04-19,5994,5265,0.1385,763,1795,0.5749,550,248,1.2177,0.2822933771209633,7308,7308,7308,7307,0
4,2023-04-20,7972,7020,0.1356,1020,2393,0.5738,748,331,1.2598,0.2814039408866995,9744,9744,9744,9740,0
5,2023-04-21,9942,8775,0.133,1304,2992,0.5642,932,413,1.2567,0.2770114942528736,12180,12180,12180,12178,0
6,2023-04-22,11934,10530,0.1333,1561,3590,0.5652,1119,496,1.256,0.277504105090312,14616,14616,14616,14614,0
7,2023-04-23,13895,12285,0.1311,1846,4189,0.5593,1309,579,1.2608,0.2746144373424031,17053,17053,17053,17050,0
8,2023-04-24,15901,14040,0.1325,2112,4787,0.5588,1474,662,1.2266,0.2744112063215147,19489,19489,19489,19487,0
9,2023-04-25,17882,15795,0.1321,2375,5386,0.559,1665,745,1.2349,0.27446866733558334,21926,21926,21926,21922,0
10,2023-04-26,19848,17551,0.1309,2657,5984,0.556,1856,827,1.2443,0.27308923733683604,24362,24362,24362,24361,0
11,2023-04-27,21849,19306,0.1317,2909,6583,0.5581,2038,910,1.2396,0.2740773909474234,26799,26799,26799,26796,0
12,2023-04-28,23825,21061,0.1312,3181,7181,0.557,2224,993,1.2397,0.27347357619291945,29235,29235,29235,29230,0
13,2023-04-29,25814,22816,0.1314,3466,7780,0.5545,2388,1076,1.2193,0.2722909825713564,31672,31672,31672,31668,0
14,2023-04-30,27793,24571,0.1311,3743,8378,0.5532,2568,1158,1.2176,0.27170375582724954,34107,34107,34107,34104,0
15,2023-05-01,29799,26326,0.1319,3997,8977,0.5548,2746,1241,1.2127,0.2724934325744308,36544,36544,36544,36542,0
16,2023-05-02,31842,28081,0.1339,4223,9575,0.559,2913,1324,1.2002,0.2745510518214469,38980,38980,38980,38978,0
17,2023-05-03,33833,29836,0.134,4494,10174,0.5583,3088,1407,1.1947,0.2742352174227974,41417,41417,41417,41415,0
18,2023-05-04,35814,31591,0.1337,4743,10772,0.5597,3295,1490,1.2114,0.2749412810982145,43853,43853,43853,43852,0
19,2023-05-05,37811,33346,0.1339,4998,11371,0.5605,3476,1572,1.2112,0.27527058264382465,46289,46289,46289,46285,0
20,2023-05-06,39776,35102,0.1332,5301,11969,0.5571,3645,1655,1.2024,0.27361162418421375,48726,48726,48726,48722,0
21,2023-05-07,41745,36857,0.1326,5571,12568,0.5567,3846,1738,1.2129,0.27349842659734575,51163,51163,51163,51162,0
22,2023-05-08,43733,38612,0.1326,5829,13166,0.5573,4033,1821,1.2147,0.27369913617791375,53599,53599,53599,53595,0
23,2023-05-09,45727,40367,0.1328,6088,13765,0.5577,4220,1904,1.2164,0.2739845813405668,56036,56036,56036,56035,0
24,2023-05-10,47722,42122,0.1329,6342,14363,0.5584,4406,1986,1.2185,0.2743411263703374,58471,58471,58471,58470,0
25,2023-05-11,49729,43877,0.1334,6604,14962,0.5586,4572,2069,1.2098,0.2743974518946608,60908,60908,60908,60905,0
26,2023-05-12,51721,45632,0.1334,6859,15560,0.5592,4762,2152,1.2128,0.27469057842889616,63344,63344,63344,63342,0
27,2023-05-13,53666,47387,0.1325,7166,16158,0.5565,4947,2235,1.2134,0.27338096685922775,65780,65780,65780,65779,0
28,2023-05-14,55666,49142,0.1328,7427,16757,0.5568,5121,2317,1.2102,0.2735135452093351,68216,68216,68216,68214,0
29,2023-05-15,57633,50897,0.1323,7699,17355,0.5564,5320,2400,1.2167,0.273339749759384,70652,70652,70652,70652,0
30,2023-05-16,59635,52653,0.1326,7957,17954,0.5568,5493,2483,1.2122,0.27348474483513474,73090,73090,73090,73085,0
31,2023-05-17,61603,54408,0.1322,8235,18552,0.5561,5686,2566,1.2159,0.27317744882557,75526,75526,75526,75524,0
32,2023-05-18,63595,56163,0.1323,8484,19151,0.557,5883,2649,1.2208,0.27362979875068943,77963,77963,77963,77962,0
33,2023-05-19,65597,57918,0.1326,8723,19749,0.5583,6075,2731,1.2245,0.2742481156247668,80398,80398,80398,80395,0
34,2023-05-20,67573,59673,0.1324,9020,20348,0.5567,6242,2814,1.2182,0.2735075753002958,82835,82835,82835,82835,0
35,2023-05-21,69595,61428,0.133,9255,20946,0.5581,6414,2897,1.214,0.27412602174244466,85271,85271,85271,85264,0
36,2023-05-22,71600,63183,0.1332,9517,21545,0.5583,6587,2980,1.2104,0.27422812058193097,87708,87708,87708,87704,0
37,2023-05-23,73624,64938,0.1338,9771,22143,0.5587,6748,3063,1.2031,0.274483049343273,90144,90144,90144,90143,0
38,2023-05-24,75581,66693,0.1333,10076,22742,0.5569,6920,3145,1.2003,0.27359040829552816,92580,92580,92580,92577,0
39,2023-05-25,77559,68448,0.1331,10342,23340,0.5569,7113,3228,1.2035,0.2735749768460049,95016,95016,95016,95014,0
40,2023-05-26,79555,70204,0.1332,10613,23939,0.5567,7281,3311,1.199,0.2734315677139984,97454,97454,97454,97449,0
41,2023-05-27,81566,71959,0.1335,10865,24537,0.5572,7452,3394,1.1956,0.27367103814195615,99890,99890,99890,99883,0
42,2023-05-28,83520,73714,0.133,11147,25136,0.5565,7655,3476,1.2022,0.27338115434982313,102326,102326,102326,102322,0
43,2023-05-29,85504,75469,0.133,11405,25734,0.5568,7851,3559,1.206,0.2735342967870029,104762,104762,104762,104760,0
44,2023-05-30,87526,77224,0.1334,11655,26333,0.5574,8018,3642,1.2015,0.2738458381141615,107199,107199,107199,107199,0
45,2023-05-31,89532,78979,0.1336,11908,26931,0.5578,8193,3725,1.1995,0.27403657591097735,109635,109635,109635,109633,0
46,2023-06-01,91552,80734,0.134,12148,27530,0.5587,8369,3808,1.1977,0.2744753372831751,112072,112072,112072,112069,0
47,2023-06-02,93545,82489,0.134,12404,28128,0.559,8554,3890,1.199,0.2746032993616111,114507,114507,114507,114503,0
48,2023-06-03,95527,84244,0.1339,12679,28727,0.5586,8734,3973,1.1983,0.2744219455465864,116944,116944,116944,116940,0
49,2023-06-04,97483,85999,0.1335,12950,29325,0.5584,8947,4056,1.2059,0.27433405930641647,119380,119380,119380,119380,0
50,2023-06-05,99439,87755,0.1331,13235,29924,0.5577,9137,4139,1.2075,0.27394145364396066,121818,121818,121818,121811,0
51,2023-06-06,101480,89510,0.1337,13474,30522,0.5585,9299,4222,1.2025,0.2743976049060795,124254,124254,124254,124253,0
52,2023-06-07,103471,91265,0.1337,13729,31121,0.5589,9489,4304,1.2047,0.27455205620017364,126690,126690,126690,126689,0
53,2023-06-08,105455,93020,0.1337,13997,31719,0.5587,9673,4387,1.2049,0.274483837492062,129126,129126,129126,129125,0
54,2023-06-09,107465,94775,0.1339,14244,32317,0.5592,9853,4470,1.2043,0.2747449871543455,131562,131562,131562,131562,0
55,2023-06-10,109475,96530,0.1341,14498,32916,0.5595,10022,4553,1.2012,0.2748677228934544,133999,133999,133999,133995,0
56,2023-06-11,111442,98285,0.1339,14790,33514,0.5587,10201,4635,1.2009,0.27446970696453965,136434,136434,136434,136433,0
57,2023-06-12,113412,100040,0.1337,15067,34113,0.5583,10391,4718,1.2024,0.2742905286200863,138871,138871,138871,138870,0
58,2023-06-13,115395,101795,0.1336,15330,34711,0.5584,10578,4801,1.2033,0.2742822365487909,141307,141307,141307,141303,0
59,2023-06-14,117359,103550,0.1334,15609,35310,0.5579,10774,4884,1.206,0.2740983971504898,143744,143744,143744,143742,0
60,2023-06-15,119330,105306,0.1332,15872,35908,0.558,10976,4967,1.2098,0.27410538989335137,146181,146181,146181,146178,0
61,2023-06-16,121329,107061,0.1333,16138,36507,0.5579,11148,5049,1.208,0.274100540315038,148617,148617,148617,148615,0
62,2023-06-17,123295,108816,0.1331,16410,37105,0.5577,11339,5132,1.2095,0.27395020290891275,151053,151053,151053,151044,0
63,2023-06-18,125291,110571,0.1331,16670,37704,0.5579,11526,5215,1.2102,0.27405694182031404,153490,153490,153490,153487,0
64,2023-06-19,127276,112326,0.1331,16920,38302,0.5582,11728,5298,1.2137,0.2742454754178264,155926,155926,155926,155924,0
65,2023-06-20,129260,114081,0.1331,17179,38901,0.5584,11920,5381,1.2152,0.2743064983613597,158363,158363,158363,158359,0
66,2023-06-21,131257,115836,0.1331,17426,39499,0.5588,12112,5463,1.2171,0.27452455876316867,160798,160798,160798,160795,0
67,2023-06-22,133235,117591,0.133,17699,40098,0.5586,12300,5546,1.2178,0.27443256654516496,163235,163235,163235,163234,0
68,2023-06-23,135211,119346,0.1329,17960,40696,0.5587,12497,5629,1.2201,0.27445358572109785,165671,165671,165671,165668,0
69,2023-06-24,137203,121101,0.133,18212,41295,0.559,12691,5712,1.2218,0.2746091798129774,168108,168108,168108,168106,0
70,2023-06-25,139156,122857,0.1327,18504,41893,0.5583,12881,5794,1.2232,0.27426939675391687,170544,170544,170544,170541,0
71,2023-06-26,141135,124612,0.1326,18769,42492,0.5583,13075,5877,1.2248,0.2742728970233725,172981,172981,172981,172979,0
72,2023-06-27,143132,126367,0.1327,19035,43090,0.5583,13248,5960,1.2228,0.27424936009622786,175417,175417,175417,175415,0
73,2023-06-28,145100,128122,0.1325,19330,43689,0.5576,13420,6043,1.2208,0.27389881588269027,177854,177854,177854,177850,0
74,2023-06-29,147086,129877,0.1325,19602,44287,0.5574,13600,6126,1.22,0.2738255033557047,180290,180290,180290,180288,0
75,2023-06-30,149072,131632,0.1325,19843,44886,0.5579,13810,6208,1.2245,0.27409892407210795,182726,182726,182726,182725,0
76,2023-07-01,151035,133387,0.1323,20120,45484,0.5576,14003,6291,1.2259,0.27394389777600153,185162,185162,185162,185158,0
77,2023-07-02,153042,135142,0.1325,20368,46083,0.558,14187,6374,1.2258,0.2741379218439331,187599,187599,187599,187597,0
78,2023-07-03,155034,136897,0.1325,20648,46681,0.5577,14353,6457,1.2229,0.27398110874312626,190035,190035,190035,190035,0
79,2023-07-04,157043,138653,0.1326,20879,47280,0.5584,14548,6540,1.2245,0.2743189953915614,192473,192473,192473,192470,0
80,2023-07-05,159804,141435,0.1299,21247,47534,0.553,14799,6885,1.1495,0.26841422692413736,195854,195854,195854,195850,0
81,2023-07-06,162530,144218,0.127,21636,47788,0.5473,15068,7230,1.0841,0.26251279889176654,199236,199236,199236,199234,0
82,2023-07-07,165253,147001,0.1242,22017,48042,0.5417,15341,7575,1.0252,0.2568527968887266,202618,202618,202618,202611,0
83,2023-07-08,168009,149784,0.1217,22393,48297,0.5363,15596,7921,0.9689,0.2514732866671197,206002,206002,206002,205998,0
84,2023-07-09,170745,152567,0.1191,22790,48551,0.5306,15844,8266,0.9168,0.24604076720284263,209384,209384,209384,209379,0
85,2023-07-10,173477,155350,0.1167,23171,48805,0.5252,16117,8611,0.8717,0.24095485180902965,212766,212766,212766,212765,0
86,2023-07-11,176243,158133,0.1145,23527,49059,0.5204,16376,8956,0.8285,0.23623628254714363,216148,216148,216148,216146,0
87,2023-07-12,178998,160916,0.1124,23890,49314,0.5156,16637,9302,0.7885,0.23158810560647194,219532,219532,219532,219525,0
88,2023-07-13,181778,163699,0.1104,24221,49568,0.5114,16911,9647,0.753,0.2273971127878913,222914,222914,222914,222910,0
89,2023-07-14,184550,166482,0.1085,24568,49822,0.5069,17176,9992,0.719,0.22318556227242195,226296,226296,226296,226294,0
90,2023-07-15,187317,169265,0.1066,24927,50077,0.5022,17433,10338,0.6863,0.21898728665970046,229680,229680,229680,229677,0
91,2023-07-16,190091,172048,0.1049,25287,50331,0.4976,17681,10683,0.6551,0.2148998978812505,233062,233062,233062,233059,0
92,2023-07-17,192836,174831,0.103,25661,50585,0.4927,17946,11028,0.6273,0.2108194752245775,236444,236444,236444,236443,0
93,2023-07-18,195562,177614,0.1011,26068,50839,0.4872,18195,11373,0.5998,0.20657059701617006,239826,239826,239826,239825,0
94,2023-07-19,198343,180397,0.0995,26417,51094,0.483,18449,11719,0.5743,0.20292339953126928,243210,243210,243210,243209,0
95,2023-07-20,201117,183180,0.0979,26770,51348,0.4787,18702,12064,0.5502,0.19932925642356605,246592,246592,246592,246589,0
96,2023-07-21,203865,185963,0.0963,27144,51602,0.474,18965,12409,0.5283,0.19568435117252195,249974,249974,249974,249974,0
97,2023-07-22,206598,188746,0.0946,27518,51856,0.4693,19235,12754,0.5082,0.19210518006283647,253356,253356,253356,253351,0
98,2023-07-23,209367,191529,0.0931,27875,52111,0.4651,19493,13100,0.488,0.18877853080937915,256740,256740,256740,256735,0
99,2023-07-24,212139,194312,0.0917,28248,52365,0.4606,19730,13445,0.4675,0.18540915416612205,260122,260122,260122,260117,0
100,2023-07-25,214920,197095,0.0904,28590,52619,0.4567,19992,13790,0.4497,0.182372943105228,263504,263504,263504,263502,0
101,2023-07-26,217652,199877,0.0889,28966,52874,0.4522,20268,14136,0.4338,0.17915822052029512,266887,266887,266887,266886,0
102,2023-07-27,220384,202660,0.0875,29364,53128,0.4473,20518,14481,0.4169,0.17584332646363438,270269,270269,270269,270266,0
103,2023-07-28,223115,205443,0.086,29741,53382,0.4429,20792,14826,0.4024,0.17277115742314114,273651,273651,273651,273648,0
104,2023-07-29,225880,208226,0.0848,30103,53636,0.4388,21047,15171,0.3873,0.16988228839163566,277033,277033,277033,277030,0
105,2023-07-30,228635,211009,0.0835,30475,53891,0.4345,21304,15517,0.3729,0.1669977212508514,280417,280417,280417,280414,0
106,2023-07-31,231401,213792,0.0824,30849,54145,0.4303,21547,15862,0.3584,0.16416548331741831,283799,283799,283799,283797,0
107,2023-08-01,234108,216575,0.081,31247,54399,0.4256,21820,16207,0.3463,0.16121540074029966,287181,287181,287181,287175,0
108,2023-08-02,236831,219358,0.0797,31618,54654,0.4215,22114,16553,0.336,0.1585531636638962,290565,290565,290565,290563,0
109,2023-08-03,239578,222141,0.0785,31997,54908,0.4173,22371,16898,0.3239,0.1558818426451027,293947,293947,293947,293946,0
