#"name1","name2","distance","forced_redirection"
"El_Geneina","Adre",22,0
"Foro_Baranga","Ade",78,0
"Kulbus","Tine",66,0
"Adre","Ouaddai",118,0
"Ade","Sila",58,0
"Tine","Wadi_Fira",50,0
